Unit,Parameter,Time,Value,Scenario
El_PV,fix_units_on,2019-01-11T09:00:00,0.193,Base
El_PV,fix_units_on,2019-01-11T10:00:00,0.349,Base
El_PV,fix_units_on,2019-01-11T11:00:00,0.4,Base
El_PV,fix_units_on,2019-01-11T12:00:00,0.343,Base
El_PV,fix_units_on,2019-01-11T13:00:00,0.193,Base
El_PV,fix_units_on,2019-01-11T14:00:00,0.034,Base
El_PV,fix_units_on,2019-01-11T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T08:00:00,0.002,Base
El_PV,fix_units_on,2019-01-12T09:00:00,0.012,Base
El_PV,fix_units_on,2019-01-12T10:00:00,0.022,Base
El_PV,fix_units_on,2019-01-12T11:00:00,0.042,Base
El_PV,fix_units_on,2019-01-12T12:00:00,0.03,Base
El_PV,fix_units_on,2019-01-12T13:00:00,0.015,Base
El_PV,fix_units_on,2019-01-12T14:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T15:00:00,0.0,Base
